app,state,coverage,refs
iOS系统,锁定屏幕,direct_real,IOS26-LOCK-01
iOS系统,六位密码输入,direct_real,IOS26-PASS-01
iOS系统,主屏幕,direct_real,IOS26-HOME-01
iOS系统,通知中心,system_inherited,
iOS系统,App切换器,direct_real,IOS26-SWITCH-01
iOS系统,系统键盘,system_inherited,
iOS系统,系统警告/确认弹窗,system_inherited,
iOS系统,分享面板,system_inherited,
微信,会话列表,direct_real,WX-LIST-01
微信,单聊详情,system_inherited,
微信,群聊详情,direct_real,WX-GROUP-01
微信,语音输入/播放,direct_real,WX-VOICE-01
微信,图片与文件消息,derived_real,
微信,文件传输助手,derived_real,
微信,全局/聊天搜索,system_inherited,
微信,“+”扩展面板,direct_real,WX-PLUS-01
微信,多选/收藏/转发,direct_real,WX-SELECT-01
微信,撤回消息,derived_real,
微信,发送失败/离线,system_inherited,
照片,图库/精选集,direct_real,PHOTOS26-LIB-01
照片,年/月/全部照片,direct_real,PHOTOS26-TIME-01
照片,单图详情,direct_real,PHOTOS26-DETAIL-01
照片,视频播放,derived_real,
照片,信息与EXIF,direct_real,PHOTOS26-INFO-01
照片,人物识别,derived_real,
照片,搜索,system_inherited,
照片,最近删除,derived_real,
Safari,起始页,direct_real,SAFARI26-START-01
Safari,地址输入/搜索,direct_real,SAFARI26-SEARCH-01
Safari,网页浏览,direct_real,SAFARI26-WEB-01
Safari,更多菜单,direct_real,SAFARI26-MENU-01
Safari,无痕浏览,direct_real,SAFARI26-PRIVATE-01
Safari,标签总览,direct_real,SAFARI26-TABS-01
Safari,历史/收藏,system_inherited,
Safari,知识页,derived_real,
Safari,404/缓存页,derived_real,
百度地图,地图首页,direct_real,MAP-HOME-01
百度地图,搜索结果,direct_real,MAP-SEARCH-01
百度地图,地点卡,derived_real,
百度地图,收藏地点,direct_real,MAP-FAV-01
百度地图,路线规划,derived_real,
百度地图,行程历史,system_inherited,
百度地图,街景/全景入口,derived_real,
百度地图,分享位置,system_inherited,
百度地图,照片比对模式,derived_real,
文件,浏览位置,derived_real,
文件,文件列表,system_inherited,
文件,文件预览,direct_real,IOS26-FILES-01
文件,搜索,system_inherited,
文件,下载进度,derived_real,
文件,压缩/解压,derived_real,
文件,损坏/无权限,system_inherited,
文件,最近项目,derived_real,
备忘录,文件夹/列表,system_inherited,
备忘录,正文编辑,derived_real,
备忘录,附件,direct_real,IOS26-NOTES-02
备忘录,搜索,system_inherited,
备忘录,锁定笔记,derived_real,
备忘录,格式工具,direct_real,IOS26-NOTES-01
备忘录,自动普通化,derived_real,
备忘录,最近删除,derived_real,
电话,最近通话,derived_real,
电话,联系人详情,system_inherited,
电话,拨号盘,derived_real,
电话,来电界面,derived_real,
电话,通话中,direct_real,"PHONE26-TRANSLATE-01,PHONE26-HOLD-01"
电话,语音留言,derived_real,
电话,未接来电,derived_real,
电话,未知号码,derived_real,
日历,月视图,derived_real,
日历,日视图,direct_real,CAL26-DAY-01
日历,事件详情,system_inherited,
日历,搜索,system_inherited,
日历,新建/编辑,derived_real,
日历,邀请,derived_real,
日历,重复事件,derived_real,
设置,设置首页,derived_real,
设置,Apple账号/设备名,derived_real,
设置,通知,direct_real,SET26-NOTIFY-01
设置,存储空间,derived_real,
设置,屏幕使用时间,derived_real,
设置,隐私/权限,system_inherited,
设置,关于本机,derived_real,
小红书,发现双列流,direct_real,XHS-DISCOVER-01
小红书,关注流,derived_real,
小红书,搜索,system_inherited,
小红书,笔记详情,direct_real,XHS-POST-01
小红书,多图查看,derived_real,
小红书,评论/楼中楼,derived_real,
小红书,个人主页,direct_real,XHS-PROFILE-01
小红书,发布入口,direct_real,XHS-PUBLISH-01
小红书,草稿箱,derived_real,
小红书,浏览历史,system_inherited,
小红书,通知/私信,direct_real,XHS-CHAT-01
小红书,账号恢复,derived_real,
抖音,推荐视频流,derived_real,
抖音,视频详情,system_inherited,
抖音,评论抽屉,derived_real,
抖音,搜索,direct_real,DY-SEARCH-01
抖音,直播,direct_real,DY-LIVE-01
抖音,个人主页,derived_real,
抖音,收藏/历史,system_inherited,
抖音,草稿,derived_real,
知乎,首页/回答,direct_real,ZH-HOME-01
知乎,问题详情,system_inherited,
知乎,搜索,system_inherited,
知乎,想法流,direct_real,ZH-IDEAS-01
知乎,个人主页,direct_real,ZH-PROFILE-01
知乎,评论,derived_real,
知乎,AI模块,derived_real,
知乎,404页,derived_real,
百度贴吧,吧首页/信息流,direct_real,TB-FEED-01
百度贴吧,帖子详情,system_inherited,
百度贴吧,楼层列表,system_inherited,
百度贴吧,楼中楼,derived_real,
百度贴吧,只看楼主,derived_real,
百度贴吧,搜索,system_inherited,
百度贴吧,收藏,derived_real,
百度贴吧,发帖/回复,derived_real,
今日头条,新闻信息流,direct_real,TT-FEED-01
今日头条,热榜,direct_real,TT-HOT-01
今日头条,文章详情,system_inherited,
今日头条,评论区,derived_real,
今日头条,搜索/AI搜索,direct_real,TT-AI-01
今日头条,收藏/历史,system_inherited,
QQ邮箱,邮箱列表,direct_real,QQMAIL717-BOX-01
QQ邮箱,收件箱,derived_real,
QQ邮箱,邮件详情,system_inherited,
QQ邮箱,搜索,system_inherited,
QQ邮箱,写邮件,direct_real,QQMAIL717-COMPOSE-01
QQ邮箱,附件预览,derived_real,
QQ邮箱,文件云盘,direct_real,QQMAIL717-CLOUD-01
QQ邮箱,日历,direct_real,QQMAIL717-CALENDAR-01
QQ邮箱,多窗口,direct_real,QQMAIL717-MULTI-01
百度网盘,首页,direct_real,NETDISK1329-HOME-01
百度网盘,文件列表,system_inherited,
百度网盘,搜索/AI搜索,direct_real,NETDISK1329-SEARCH-01
百度网盘,文件详情,system_inherited,
百度网盘,分享,system_inherited,
百度网盘,下载/传输,derived_real,
百度网盘,在线解压,derived_real,
百度网盘,扫描,direct_real,NETDISK1329-SCAN-01
百度网盘,转写,direct_real,NETDISK1329-TRANS-01
百度网盘,笔记,direct_real,NETDISK1329-NOTES-01
支付宝,首页,direct_real,ALI-ELDER-01
支付宝,付款/收款,derived_real,
支付宝,账单列表,system_inherited,
支付宝,账单详情,system_inherited,
支付宝,搜索,system_inherited,
支付宝,服务卡,derived_real,
支付宝,AI入口,derived_real,
滴滴出行,首页,direct_real,DIDI80-HOME-01
滴滴出行,车型选择,direct_real,DIDI80-VEH-01
滴滴出行,叫车确认,derived_real,
滴滴出行,进行中行程,direct_real,DIDI80-TRIP-01
滴滴出行,订单历史,direct_real,DIDI80-HISTORY-01
滴滴出行,行程详情,system_inherited,
滴滴出行,路线推荐,direct_real,DIDI80-ROUTE-01
美团,首页,direct_real,MT-HOME-01
美团,搜索,direct_real,MT-SEARCH-01
美团,商户列表,system_inherited,
美团,商户详情,system_inherited,
美团,订单列表,system_inherited,
美团,订单详情,system_inherited,
美团,外卖频道,derived_real,
淘宝,首页,direct_real,TBao-HOME-01
淘宝,搜索结果,direct_real,TBao-SEARCH-01
淘宝,商品详情,system_inherited,
淘宝,订单列表,system_inherited,
淘宝,订单详情,system_inherited,
淘宝,物流,derived_real,
淘宝,即时零售,direct_real,TBao-FLASH-01
网易云音乐,首页,direct_real,NCM-HOME-01
网易云音乐,搜索,system_inherited,
网易云音乐,歌单,derived_real,
网易云音乐,歌曲列表,system_inherited,
网易云音乐,播放器,derived_real,
