ref_id,app,page,relpath,version,source_type,source_url,confidence,coverage,use,limitations,capture_date,pixel_size,sha256,file_size_kb
IOS26-LOCK-01,iOS系统,锁定屏幕,apps/ios_system/raw/IOS26-LOCK-01__ios_lock_screen.png,iOS 26.5.2,Apple 官方用户指南,https://support.apple.com/zh-cn/guide/iphone/iphfed2c4091/ios,高,direct_real,时间层级、状态栏、快捷按钮、底部手势区,,2026-07-16,489x1008,d53f2662a46e034ed52d0b17d6b878d7b4451e13a72232346eac3be4e4689710,565.1
IOS26-HOME-01,iOS系统,主屏幕,apps/ios_system/raw/IOS26-HOME-01__ios_home_screen.png,iOS 26.5.2,Apple 官方用户指南,https://support.apple.com/zh-cn/guide/iphone/iphfed2c4091/ios,高,direct_real,图标网格、Dock、搜索入口、系统材质,,2026-07-16,489x1008,0653b12c2efcdc7b3a09dae2e87c26a93f818f33022065f3c4cd3bda099a4210,320.3
IOS26-PASS-01,iOS系统,六位密码输入,apps/ios_system/raw/IOS26-PASS-01__ios_passcode_state.png,iOS 26,Apple 官方用户指南,https://support.apple.com/zh-cn/guide/iphone/welcome/ios,高,direct_real,密码圆点、数字键盘、取消入口与安全区,,2026-07-16,640x1324,fc8c3c18fa612e0cd10ffff5329b126d5fb1da7d3d04a911e36024d788ff7781,585.0
IOS26-SWITCH-01,iOS系统,App切换器,apps/ios_system/raw/IOS26-SWITCH-01__ios_app_switcher.png,iOS 26,Apple 官方用户指南,https://support.apple.com/zh-cn/guide/iphone/welcome/ios,高,direct_real,卡片比例、背景模糊、底部手势区,,2026-07-16,490x1008,e7241bef3bdb8fa60b2cd42a493dbd5f2bca0fb2ac1b4e9c23989f24e86d361d,521.9
IOS26-FILES-01,文件,文件预览,apps/files/raw/IOS26-FILES-01__ios_files_preview.png,iOS 26,Apple 官方用户指南,https://support.apple.com/zh-cn/guide/iphone/welcome/ios,高,direct_real,文件预览、顶部操作、底部工具,,2026-07-16,490x1008,42e21a7c09fb269417f54388b330d26e50c3d8016b564d32bb1ab9d0bdb22a40,324.5
IOS26-CLOCK-01,时钟,时钟—闹钟,apps/clock/raw/IOS26-CLOCK-01__ios_clock_alarm.png,iOS 26,Apple 官方用户指南,https://support.apple.com/zh-cn/guide/iphone/welcome/ios,高,direct_real,系统列表、分段导航、开关和底部栏,,2026-07-16,490x1008,5f816799b3e819df2a89d687df61672eeaac2324829ca2f5711341d6e1995060,124.3
IOS26-NOTES-01,备忘录,备忘录格式工具,apps/notes/raw/IOS26-NOTES-01__ios_notes_formatting.png,iOS 26,Apple 官方用户指南,https://support.apple.com/zh-cn/guide/iphone/welcome/ios,高,direct_real,正文、键盘上方格式工具、系统顶栏,,2026-07-16,640x1320,b3aa0357bb9e2b08599af041d33e609941417496608742a98c8ff37df5fef8bf,596.1
IOS26-NOTES-02,备忘录,备忘录附件,apps/notes/raw/IOS26-NOTES-02__ios_notes_attachment.png,iOS 26,Apple 官方用户指南,https://support.apple.com/zh-cn/guide/iphone/welcome/ios,高,direct_real,附件卡、正文密度、底部工具,,2026-07-16,640x1320,c993e771bd2b9efb6aae08e3fd0c2fa7981621eebba91845482fb337a36feac3,600.6
PHOTOS26-LIB-01,照片,图库与精选集,apps/photos/raw/PHOTOS26-LIB-01__PHOTOS26_01_library_collections.png,iOS 26,Apple 官方用户指南,https://support.apple.com/zh-cn/guide/iphone/welcome/ios,高,direct_real,图库网格、顶栏、底部标签、滚动密度,,2026-07-16,490x1008,de3fe44fe704cf8fbf686d8e3c017e059302ec68199dfa069f2111c200a45401,804.4
PHOTOS26-TIME-01,照片,年/月/全部照片,apps/photos/raw/PHOTOS26-TIME-01__PHOTOS26_02_library_years_months_all.png,iOS 26,Apple 官方用户指南,https://support.apple.com/zh-cn/guide/iphone/welcome/ios,高,direct_real,时间层级切换、照片网格和底部栏,,2026-07-16,490x1008,555aa5a8c76038bae617cd127853ee6e052885def200d3fb6c7428a03ba88474,850.0
PHOTOS26-DETAIL-01,照片,单图详情,apps/photos/raw/PHOTOS26-DETAIL-01__PHOTOS26_03_photo_detail.png,iOS 26,Apple 官方用户指南,https://support.apple.com/zh-cn/guide/iphone/welcome/ios,高,direct_real,单图适配、胶片条、底部操作,,2026-07-16,490x1008,a0d04d6f3188ebacdfc8235ce1633347bff0f2ce2584d9a6eb03953aab3907dd,634.5
PHOTOS26-INFO-01,照片,照片信息与EXIF,apps/photos/raw/PHOTOS26-INFO-01__PHOTOS26_04_metadata_info.png,iOS 26,Apple 官方用户指南,https://support.apple.com/zh-cn/guide/iphone/welcome/ios,高,direct_real,信息卡、人物识别、设备参数和地图卡,,2026-07-16,490x1008,1a220151492c2f03d59319c3214e4b35d6f7dfd2266d576d295ed46099a6d579,430.5
SAFARI26-START-01,Safari,起始页,apps/safari/raw/SAFARI26-START-01__safari_start_page.png,Safari / iOS 26,Apple 官方用户指南,https://support.apple.com/zh-cn/guide/iphone/welcome/ios,高,direct_real,收藏、隐私报告、地址栏和系统材质,,2026-07-16,489x1008,afb2d360c930773a82f375733387865b709f1435246d7ff4205619658f3fa34c,372.8
SAFARI26-SEARCH-01,Safari,地址输入与搜索键盘,apps/safari/raw/SAFARI26-SEARCH-01__safari_search_keyboard.png,Safari / iOS 26,Apple 官方用户指南,https://support.apple.com/zh-cn/guide/iphone/welcome/ios,高,direct_real,搜索建议、地址栏、键盘和前往键,,2026-07-16,489x1008,2fed3576740c8d523c4748d0c85ca9a0977e6f1887ccb078a9b5f4cd311e6d1d,142.5
SAFARI26-WEB-01,Safari,网页浏览与紧凑地址栏,apps/safari/raw/SAFARI26-WEB-01__SAFARI26_01_webpage_compact.png,Safari / iOS 26,Apple 官方用户指南,https://support.apple.com/zh-cn/guide/iphone/welcome/ios,高,direct_real,网页视口、底部地址栏、返回和更多入口,,2026-07-16,490x1008,3336bd684a30a77ccb4c49ea94e29d4bd80c395f18059673d39e18eeb5c861e4,343.3
SAFARI26-MENU-01,Safari,更多菜单,apps/safari/raw/SAFARI26-MENU-01__SAFARI26_02_more_menu.png,Safari / iOS 26,Apple 官方用户指南,https://support.apple.com/zh-cn/guide/iphone/welcome/ios,高,direct_real,底部浮层、圆角、模糊材质和菜单行,,2026-07-16,490x1008,83489d764770954ffb25750abe4ff33069389b45f518a79b0959eacfe17b5913,324.7
SAFARI26-PRIVATE-01,Safari,无痕浏览,apps/safari/raw/SAFARI26-PRIVATE-01__SAFARI26_03_private_browsing.png,Safari / iOS 26,Apple 官方用户指南,https://support.apple.com/zh-cn/guide/iphone/welcome/ios,高,direct_real,无痕空状态、模式切换和底部操作,,2026-07-16,490x1008,c4addc33db84fb7f0ce738e789d72b420c058bbc215d5f021b261ecb121ebaeb,326.8
SAFARI26-TABS-01,Safari,标签总览与最近关闭,apps/safari/raw/SAFARI26-TABS-01__SAFARI26_04_tab_overview_recently_closed.png,Safari / iOS 26,Apple 官方用户指南,https://support.apple.com/zh-cn/guide/iphone/welcome/ios,高,direct_real,标签卡、最近关闭浮层和底部确认,,2026-07-16,490x1008,83bd28bb6218fb1fdb8fdb134d4da136ae7ad3d98fdce36f3f3b9d04333b7052,556.8
WX-LIST-01,微信,会话列表,apps/wechat/raw/WX-LIST-01__WECHAT_8.0.75_09_message_list_appstore.png,微信 8.0.75,App Store 官方宣传截图,https://apps.apple.com/cn/app/%E5%BE%AE%E4%BF%A1/id414478124,高（结构）,direct_real,会话行、搜索、时间、未读角标和底部导航,宣传内容与游戏内容不同；只复刻界面结构,2026-07-16,392x696,7f0ab2b08ce096f0275a0bc3cde77a4ba429d3072e9d63da2ee22d994a2b040a,147.0
WX-GROUP-01,微信,群聊详情,apps/wechat/raw/WX-GROUP-01__WECHAT_8.0.75_10_group_chat_appstore.png,微信 8.0.75,App Store 官方宣传截图,https://apps.apple.com/cn/app/%E5%BE%AE%E4%BF%A1/id414478124,高（结构）,direct_real,聊天气泡、头像、时间分隔、输入区,群聊内容需按Content Bible替换,2026-07-16,392x696,d482c4de84936cb1f5a3442e1565cf6dfdab3db15b58442ccc9754b63294a9ee,131.4
WX-VOICE-01,微信,语音输入状态,apps/wechat/raw/WX-VOICE-01__WECHAT_8.0.75_11_voice_input_appstore.png,微信 8.0.75,App Store 官方宣传截图,https://apps.apple.com/cn/app/%E5%BE%AE%E4%BF%A1/id414478124,高（结构）,direct_real,语音输入面板、底部输入区和安全区,,2026-07-16,392x696,221a01cd54e9bf330493b8fb6cae49ea12d149073168ca5bd1fbb5097f85f3ff,133.2
WX-FILE-01,微信,大视频转文件确认,apps/wechat/raw/WX-FILE-01__WECHAT_8.0.75_02_large_video_as_file.jpg,微信 8.0.75,2026近期实测公开截图,https://n.sinaimg.cn/spider20260614/298/w1080h818/20260614/60ea-05e498c284aebcf3f853cae03f6ae69f.jpg,中高,direct_real,文件卡、底部确认面板、绿色主按钮,,2026-07-16,1080x818,10bcdf9ce70a995079ce1b11eebddd17dd5c8504b1ec150f0faf0c8c7ca5dbd9,39.8
WX-MOMENT-01,微信,朋友圈搜索入口,apps/wechat/raw/WX-MOMENT-01__WECHAT_8.0.75_03_moments_search_entry.jpg,微信 8.0.75,2026近期实测公开截图,https://n.sinaimg.cn/spider20260614/57/w1080h1377/20260614/3e33-320891d972830a3b73ee8845f0e8667e.jpg,中,direct_real,朋友圈头部、搜索/相册/通知入口,可能属于灰度状态,2026-07-16,1080x1377,59796aaee0a0029b6246291e9d7ce1f983aa384f32ca940b0aa06a08d5863f7f,51.8
WX-MOMENT-02,微信,朋友圈搜索结果,apps/wechat/raw/WX-MOMENT-02__WECHAT_8.0.75_04_moments_search_results.jpg,微信 8.0.75,2026近期实测公开截图,https://n.sinaimg.cn/spider20260614/90/w1068h1422/20260614/fa4d-97c9030a56f3a4f0f133506e8b103d04.jpg,中,direct_real,搜索框、结果卡、日期与图片网格,可能属于灰度状态,2026-07-16,1068x1422,47b98113a4f9a9824944b27d27535fc7ffbb9d1b84018537b654fa401f3f3ab3,82.9
WX-PLUS-01,微信,聊天“+”扩展面板,apps/wechat/raw/WX-PLUS-01__WECHAT_8.0.75_07_chat_plus_panel.webp,微信 8.0.75,2026近期实测公开截图,https://q9.itc.cn/q_70/images03/20260615/eb2de05f443d4b8696da618849c8faba.jpeg,中,direct_real,输入区、扩展面板网格、分页圆点,,2026-07-16,652x872,4412e8a804774b2893a37e623eb91a3ace2e8d3a12335a4d01139436c4e2dd87,14.7
WX-SELECT-01,微信,消息多选工具栏,apps/wechat/raw/WX-SELECT-01__WECHAT_8.0.75_08_multi_select_toolbar.webp,微信 8.0.75,2026近期实测公开截图,https://q6.itc.cn/q_70/images03/20260615/ba9a64de6286472aabfc0d378560c901.jpeg,中,direct_real,多选勾选、转发/收藏/删除工具栏,,2026-07-16,650x334,82098cb868af88fd85bc68b95683d76dafcbc20eda233de1691a45b7f990f295,8.0
XHS-DISCOVER-01,小红书,发现双列流,apps/xiaohongshu/raw/XHS-DISCOVER-01__XHS_2026_07_09_01_discover.png,小红书 9.38.1（版本已核验）,近期公开iPhone截图,来源页面未保留【未经验证】,中,direct_real,发现流双列卡片、顶部频道、底部导航,原始分辨率较低；只约束结构与密度,2026-07-16,166x296,18cc746de0653466bcbed95f6d05ae25d98ded4e7947252a88130beb04abc693,20.1
XHS-POST-01,小红书,笔记详情,apps/xiaohongshu/raw/XHS-POST-01__XHS_2026_07_09_02_post.png,小红书 9.38.1（版本已核验）,近期公开iPhone截图,来源页面未保留【未经验证】,中,direct_real,笔记图片、正文、作者、底部互动,原始分辨率较低,2026-07-16,166x296,71e198eab8778357d32bab9ca399071b8d0046980edcd28cacb8b54d78b4ae32,13.9
XHS-VIDEO-01,小红书,沉浸视频,apps/xiaohongshu/raw/XHS-VIDEO-01__XHS_2026_07_09_03_video.png,小红书 9.38.1（版本已核验）,近期公开iPhone截图,来源页面未保留【未经验证】,中,direct_real,沉浸视频、右侧互动列和底部导航,原始分辨率较低,2026-07-16,166x296,d5e637fb4815599b1b55614465aed9eaf27697918437f9ddd35ad3a20afa27a8,15.3
XHS-CHAT-01,小红书,私信页面,apps/xiaohongshu/raw/XHS-CHAT-01__XHS_2026_07_09_04_chat.png,小红书 9.38.1（版本已核验）,近期公开iPhone截图,来源页面未保留【未经验证】,中,direct_real,私信消息、头像、输入区,原始分辨率较低,2026-07-16,166x296,1c6fec3a87a2961faa29b1fd58ab6187a9617d090db6e737632bd9738413e3bd,10.9
XHS-PUBLISH-01,小红书,发布入口与媒体选择,apps/xiaohongshu/raw/XHS-PUBLISH-01__XHS_2025_02_posting_templates_album.png,公开操作截图；当前版本9.38.1,公开iPhone操作教程,https://storage.ghost.io/c/fb/a8/fba8736e-797b-43bb-bcba-040fb8dcfebb/content/images/2025/01/RedNote-Posting-Guide.png,中,direct_real,模板、相册、相机、直播入口和媒体选择,界面语言与当前简中可能不同,2026-07-16,2000x1333,4ea435dbfecdfd187a216885e530622a0afcae78d91040bb9918e84f12bafa8e,3872.4
XHS-PROFILE-01,小红书,个人主页、侧栏和设置入口,apps/xiaohongshu/raw/XHS-PROFILE-01__XHS_2025_03_profile_sidebar_settings.png,公开操作截图；当前版本9.38.1,公开iPhone操作教程,https://storage.ghost.io/c/fb/a8/fba8736e-797b-43bb-bcba-040fb8dcfebb/content/images/2025/01/RedNote-Settings-Access.png,中,direct_real,个人主页、侧边栏、草稿/历史/订单/设置入口,具体计数和文字由Content Bible替换,2026-07-16,2332x2316,af1624cad22a25aaca4a908f6f246850471d2d2aaccf9e25821f9b50b8fc0024,506.4
XHS-PUBLISH-02,小红书,发布笔记与高级选项,apps/xiaohongshu/raw/XHS-PUBLISH-02__XHS_2025Q4_01_publish_advanced_live.png,2025Q4公开截图；当前版本9.38.1,公开iPhone操作截图,https://www.xiao-ad.com/upfile/202511/2025111451452005.png,中,direct_real,发布字段、公开范围和高级选项,字段可能存在版本差异【未经验证】,2026-07-16,879x558,f9e2a734a60f31bca53fba2c8c1686ad633bdec47b0048db27b5c228e9bc35cf,164.9
XHS-PROFILE-02,小红书,创作者主页与直播报告,apps/xiaohongshu/raw/XHS-PROFILE-02__XHS_2025Q4_02_profile_live_report.png,2025Q4公开截图；当前版本9.38.1,公开iPhone操作截图,https://www.xiao-ad.com/upfile/202511/2025111453237341.png,中低,direct_real,主页信息层级、关注按钮和内容切换,含打码且属于创作者场景,2026-07-16,336x734,8d99e4f56f0164961d8f3a35c6669f1c349f967bf1fae8608acd344aebd9b59e,357.4
DY-FEED-01,抖音,体验页/视频流,apps/douyin/raw/DY-FEED-01__DOUYIN_39.6.0_02_experience_feed.png,抖音 39.6.0,近期公开iPhone宣传/实拍,https://img.ddooo.com/uppic/20250312/4e1f596a81eb9820f895a27430fc18a6.png,中,direct_real,全屏视频、顶部频道、右侧互动列、底部导航,,2026-07-16,480x853,e0eba50db9560896aa5aadbf2e24ab8fdce55ef4bd0194a2cc7b07d1c4f493c2,125.0
DY-VIDEO-01,抖音,推荐视频页,apps/douyin/raw/DY-VIDEO-01__DOUYIN_39.6.0_03_recommendation_video.png,抖音 39.6.0,近期公开iPhone宣传/实拍,https://img.ddooo.com/uppic/20250312/b509ac131c57e8a701fa7a0db38f75d4.png,中,direct_real,视频说明、作者、音乐、互动列,,2026-07-16,480x853,2f4b333ce44ceeff7b0cb30be6c6bedbdd2165cff07e80908abecfa24dab2932,190.0
