assetId,stage,baseAssetId,allowedChange,mustPreserve,qa
photo.wallpaper.dinner_4faces.master,R0,photo.wallpaper.dinner_4faces.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.wallpaper.dinner_4faces.master,R1,photo.wallpaper.dinner_4faces.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.wallpaper.dinner_4faces.master,R2,photo.wallpaper.dinner_4faces.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.wallpaper.dinner_4faces.master,R5,photo.wallpaper.dinner_4faces.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.coffee.230917.master,R0,photo.coffee.230917.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.coffee.230917.master,R3,photo.coffee.230917.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.coffee.230917.master,R5,photo.coffee.230917.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.blue_mug.window.master,R0,photo.blue_mug.window.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.blue_mug.window.master,R2,photo.blue_mug.window.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.blue_mug.window.master,R3,photo.blue_mug.window.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.cat.office_06,R0,photo.cat.office_06,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.old_campus.04,R0,photo.old_campus.04,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.old_campus.04,R2,photo.old_campus.04,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.old_campus.04,R3,photo.old_campus.04,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
image.oldrain.guard,R0,image.oldrain.guard,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
video.oldrain.corridor.master,R0,video.oldrain.corridor.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
video.oldrain.corridor.master,R2,video.oldrain.corridor.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
video.oldrain.corridor.master,R3,video.oldrain.corridor.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
image.oldrain.frame417,R0,video.oldrain.corridor.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
image.oldrain.frame417,R2,video.oldrain.corridor.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
image.oldrain.frame417,R3,video.oldrain.corridor.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
audio.oldrain.carrier_morse,R0,audio.oldrain.carrier_morse,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
avatar.shenchuan.r0,R0,avatar.shenchuan.r0,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
avatar.shenchuan.r0,R2,avatar.shenchuan.r0,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
avatar.shenchuan.r0,R4,avatar.shenchuan.r0,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
avatar.shenchuan.r0,R5,avatar.shenchuan.r0,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
avatar.chenyu.r0,R0,avatar.chenyu.r0,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
avatar.chenyu.r0,R3,avatar.chenyu.r0,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
avatar.chenyu.r0,R5,avatar.chenyu.r0,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
avatar.zhoulan.r0,R0,avatar.zhoulan.r0,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
avatar.zhoulan.r0,R3,avatar.zhoulan.r0,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
avatar.zhoulan.r0,R5,avatar.zhoulan.r0,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
avatar.pb0425.r0,R0,avatar.pb0425.r0,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
avatar.pb0425.r0,R2,avatar.pb0425.r0,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
avatar.pb0425.r0,R4,avatar.pb0425.r0,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
avatar.pb0425.r0,R5,avatar.pb0425.r0,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a3.site_01.master,R0,photo.a3.site_01.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a3.site_01.master,R5,photo.a3.site_01.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a3.site_02.master,R0,photo.a3.site_02.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a3.site_02.master,R5,photo.a3.site_02.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a3.site_03.master,R0,photo.a3.site_03.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a3.site_03.master,R2,photo.a3.site_03.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a3.site_03.master,R3,photo.a3.site_03.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a3.site_03.master,R5,photo.a3.site_03.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
