assetId,type,sceneRefs,title,baseAssetId,variantStages,sourceRootId,characterRefs,locationRefs,objectRefs,duration,dimensions,clueRole,priority,notes,status
photo.wallpaper.dinner_4faces.master,still,"P00,A1-03",四人晚餐锁屏壁纸母版,,"R0,R1,R2,R5",src.photo.dinner.original,"char.shenchuan,char.chenyu,char.player",loc.hz.coffee_230917,,,4032x3024,direct,P0,第四人脸需从同一母版局部编辑；构图保持自然。,planned
photo.coffee.230917.master,still,"P03,A4-02",2023-09-17双杯咖啡与票根,,"R0,R3,R5",src.photo.coffee.original,"char.shenchuan,char.player",loc.hz.coffee_230917,"obj.ticket.230917,obj.coffee_receipt",,4032x3024,supporting,P0,,planned
photo.blue_mug.window.master,still,"A1-02,A3-07",窗边蓝色搪瓷杯,,"R0,R2,R3",src.photo.blue_mug.shen,,loc.hz.shen_apartment,obj.blue_mug,,3024x4032,supporting,P0,,planned
photo.cat.office_06,still,A1-01,公司楼下猫随手拍,,R0,src.photo.shen.daily,,loc.hz.office,,,3024x4032,none,P1,,planned
photo.old_campus.04,still,"A2-01,A2-08",旧园区第四张门照片,,"R0,R2,R3",src.photo.oldrain.archive,,loc.tj.old_riverside,,,1920x1080,supporting,P0,,planned
image.oldrain.guard,still,A2-03,旧雨17隐藏页guard.png,,R0,src.oldrain.guard,,,,,1170x2532,supporting,P0,过近人像不是旧雨17正脸；0.4秒闪帧。,planned
video.oldrain.corridor.master,video,"A2-04,A2-07",旧雨17走廊原始视频,,"R0,R2,R3",src.oldrain.video,,loc.tj.corridor,,20.0s Cfr30,1920x1080,direct,P0,,planned
image.oldrain.frame417,still,A2-07,走廊视频第417帧,video.oldrain.corridor.master,"R0,R2,R3",src.oldrain.video,char.panbowen,loc.tj.corridor,obj.keyring.pb,,1920x1080,direct,P0,索引417，时间码00:13.900，零基帧编号。,planned
audio.oldrain.carrier_morse,audio,"A2-04,A2-06",carrier.wav摩斯音频,,R0,src.oldrain.audio,,loc.tj.corridor,obj.keyring.pb,43.0s,,direct,P0,,planned
avatar.shenchuan.r0,still,A1-01,沈川微信/设置头像,,"R0,R2,R4,R5",src.avatar.shen,char.shenchuan,,,,1024x1024,supporting,P0,,planned
avatar.chenyu.r0,still,"P02,A1-04",陈屿微信头像,,"R0,R3,R5",src.avatar.chenyu,char.chenyu,,,,1024x1024,none,P0,,planned
avatar.zhoulan.r0,still,A3-06,周岚微信头像,,"R0,R3,R5",src.avatar.zhoulan,char.zhoulan,,,,1024x1024,none,P1,,planned
